"div","u","v","p","dx","dy","T","phase","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0018805,1.165e-05,-0.020153,-5.5734,7.0974e-09,-4.1946e-05,20,1,1,0,0.5,-4.3961e-05,0
-0.0014349,1.0884e-05,-0.020893,-3.9478,6.6304e-09,-4.3323e-05,20,1,1,0.01,0.5,0.0099565,0
-0.00098939,1.0118e-05,-0.021633,-2.3221,6.1633e-09,-4.4701e-05,20,1,1,0.020001,0.5,0.019957,0
-0.00089019,9.7369e-06,-0.022292,-0.6965,5.9588e-09,-4.596e-05,20,1,1,0.030001,0.5,0.029957,0
-0.0011367,9.7407e-06,-0.02287,0.92911,6.0164e-09,-4.7102e-05,20,1,1,0.040002,0.5,0.039958,0
-0.0013827,9.7448e-06,-0.023447,2.5546,6.0742e-09,-4.8244e-05,20,1,1,0.050002,0.5,0.049958,0
-0.0011171,1.0132e-05,-0.023852,4.0277,6.3669e-09,-4.9349e-05,20,1,1,0.060003,0.5,0.059959,0
-0.00085155,1.0518e-05,-0.024257,5.5008,6.6596e-09,-5.0455e-05,20,1,1,0.070003,0.5,0.069959,0
-0.00086683,1.095e-05,-0.024556,6.974,6.98e-09,-5.16e-05,20,1,1,0.080004,0.5,0.07996,0
-0.0011616,1.1426e-05,-0.024752,8.4471,7.3279e-09,-5.2784e-05,20,1,1,0.090004,0.5,0.08996,0
-0.0014551,1.1902e-05,-0.024947,9.9217,7.6756e-09,-5.3967e-05,20,1,1,0.1,0.5,0.09996,0
-0.0010479,1.2148e-05,-0.025022,12.274,7.9248e-09,-5.4938e-05,20,1,1,0.11,0.5,0.10996,0
-0.0006407,1.2394e-05,-0.025097,14.627,8.1739e-09,-5.5909e-05,20,1,1,0.12001,0.5,0.11996,0
-0.00036457,1.2486e-05,-0.025151,16.98,8.4976e-09,-5.6581e-05,20,1,1,0.13001,0.5,0.12996,0
-0.00021847,1.2425e-05,-0.025184,19.332,8.8953e-09,-5.6959e-05,20,1,1,0.14001,0.5,0.13996,0
-7.2366e-05,1.2363e-05,-0.025218,21.685,9.293e-09,-5.7337e-05,20,1,1,0.15001,0.5,0.14996,0
