"div","u","v","p","dx","dy","T","phase","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.10171,9.657e-05,0.0010544,7397.8,-8.9153e-05,-0.0023932,222.65,1,1,0,0.49988,-0.0023931,0
-0.075294,0.00010378,0.0010682,7254.4,-9.1871e-05,-0.0023975,222.55,1,1,0.010024,0.49988,0.0076309,0
-0.048873,0.00011099,0.001082,7111,-9.4591e-05,-0.0024019,222.44,1,1,0.020048,0.49988,0.017655,0
-0.027714,0.00011674,0.0011033,6966.9,-9.7228e-05,-0.0024545,222.23,1,1,0.030072,0.49988,0.027679,0
-0.011721,0.00012105,0.0011319,6822.2,-9.9784e-05,-0.0025542,221.92,1,1,0.040096,0.49988,0.037703,0
0.0054229,0.00012535,0.0011594,6699.9,-0.00010234,-0.0026492,221.6,1,1,0.05012,0.49988,0.047727,0
0.051528,0.00012907,0.0011589,7155,-0.00010491,-0.0026282,221.07,1,1,0.060144,0.49988,0.057751,0
0.097629,0.00013278,0.0011583,7610,-0.00010748,-0.0026072,220.55,1,1,0.070168,0.49988,0.067774,0
0.059339,0.00013758,0.0011167,8056.9,-0.00011022,-0.0024055,219.91,1,1,0.080191,0.49988,0.077798,0
-0.051334,0.00014331,0.00104,8496.7,-0.00011309,-0.002049,219.17,1,1,0.090215,0.49988,0.087822,0
-0.16201,0.00014903,0.00096337,8936.4,-0.00011597,-0.0016924,218.43,1,1,0.10024,0.49988,0.097846,0
-0.28415,0.00015754,0.00097379,7234.4,-0.00011908,-0.001753,217.48,1,1,0.11026,0.49988,0.10787,0
-0.40687,0.00016619,0.00098858,5424.9,-0.00012222,-0.0018346,216.51,1,1,0.12029,0.49988,0.11789,0
-0.41969,0.00017559,0.0011098,3510.4,-0.00012517,-0.0025029,215.45,1,1,0.13031,0.49988,0.12792,0
-0.31266,0.00018581,0.0013472,1481.4,-0.00012793,-0.0038112,214.28,1,1,0.14034,0.49988,0.13794,0
-0.19937,-0.001129,0.0031827,-0.64844,-0.00012904,-0.0047208,213.07,0,1,0.15036,0.49988,0.14797,0
-0.0694,-0.0059845,0.0092903,-20.306,-0.00012578,-0.0045647,211.76,0,1,0.16038,0.49988,0.15799,0
0.060578,-0.010838,0.015398,-39.963,-0.00012251,-0.0044086,210.45,0,1,0.17041,0.49988,0.16801,0
0.076303,-0.011122,0.028707,-59.639,-0.00011932,-0.0042619,209.07,0,1,0.18043,0.49988,0.17804,0
0.051622,-0.0097907,0.044564,-79.322,-0.00011616,-0.0041187,207.68,0,1,0.19045,0.49988,0.18806,0
0.036001,-0.0075457,0.059031,-99.003,-0.00011303,-0.0039779,206.25,0,1,0.20048,0.49988,0.19809,0
0.054778,-0.0018332,0.068219,-118.68,-0.00011001,-0.0038465,204.69,0,1,0.2105,0.49988,0.20811,0
0.073561,0.0038787,0.077408,-138.35,-0.00010699,-0.0037151,203.13,0,1,0.22053,0.49988,0.21813,0
0.065318,0.0075126,0.085528,-158.04,-0.00010408,-0.0035912,201.39,0,1,0.23055,0.49988,0.22816,0
0.044435,0.010173,0.093148,-177.73,-0.00010121,-0.0034708,199.57,0,1,0.24057,0.49988,0.23818,0
0.029322,0.011981,0.09615,-197.42,-9.8361e-05,-0.0033519,197.7,0,1,0.2506,0.49988,0.24821,0
0.045254,0.0092509,0.074373,-217.11,-9.5639e-05,-0.0032416,195.59,0,1,0.26062,0.49988,0.25823,0
0.061096,0.0065097,0.052588,-236.8,-9.2919e-05,-0.0031312,193.47,0,1,0.27065,0.49988,0.26825,0
0.05569,0.036812,0.016443,-256.5,-9.0292e-05,-0.0030267,191.21,0,1,0.28067,0.49988,0.27828,0
0.038089,0.086079,-0.027944,-276.2,-8.7718e-05,-0.0029256,188.86,0,1,0.29069,0.49988,0.2883,0
0.024082,0.13166,-0.071756,-293.63,-8.5162e-05,-0.0028254,186.5,0,1,0.30072,0.49988,0.29832,0
0.037498,0.14921,-0.11122,-293.69,-8.2732e-05,-0.0027326,184.07,0,1,0.31074,0.49988,0.30835,0
0.050911,0.16676,-0.15069,-293.75,-8.0303e-05,-0.0026399,181.64,0,1,0.32077,0.49988,0.31837,0
0.047416,0.17949,-0.17988,-293.81,-7.7956e-05,-0.0025517,179.19,0,1,0.33079,0.49988,0.3284,0
0.03258,0.18897,-0.20218,-293.86,-7.5666e-05,-0.0024666,176.73,0,1,0.34081,0.49988,0.33842,0
0.019924,0.19672,-0.22408,-293.92,-7.3387e-05,-0.0023821,174.27,0,1,0.35084,0.49988,0.34844,0
0.031286,0.18522,-0.24151,-293.96,-7.1232e-05,-0.002304,171.8,0,1,0.36086,0.49988,0.35847,0
0.042646,0.17373,-0.25895,-294,-6.9076e-05,-0.0022258,169.33,0,1,0.37089,0.49988,0.36849,0
0.040421,0.16257,-0.27428,-294.04,-6.6994e-05,-0.0021513,166.86,0,1,0.38091,0.49988,0.37852,0
0.027928,0.15167,-0.28803,-294.08,-6.4968e-05,-0.0020795,164.39,0,1,0.39093,0.49988,0.38854,0
0.016708,0.14121,-0.30161,-294.12,-6.2949e-05,-0.002008,161.92,0,1,0.40096,0.49988,0.39856,0
0.02633,0.13784,-0.31237,-294.16,-6.1047e-05,-0.0019419,159.46,0,1,0.41098,0.49988,0.40859,0
0.035951,0.13447,-0.32314,-294.19,-5.9144e-05,-0.0018758,156.99,0,1,0.42101,0.49988,0.41861,0
0.033429,0.13317,-0.33439,-294.23,-5.7306e-05,-0.0018126,154.53,0,1,0.43103,0.49988,0.42864,0
0.020848,0.13358,-0.34605,-294.26,-5.5521e-05,-0.0017517,152.07,0,1,0.44105,0.49988,0.43866,0
0.0091257,0.13397,-0.3577,-294.3,-5.374e-05,-0.001691,149.61,0,1,0.45108,0.49988,0.44868,0
0.019341,0.13395,-0.3693,-294.32,-5.2066e-05,-0.0016348,147.15,0,1,0.4611,0.49988,0.45871,0
0.029554,0.13394,-0.38089,-294.34,-5.0392e-05,-0.0015786,144.7,0,1,0.47112,0.49988,0.46873,0
0.029691,0.13354,-0.39134,-294.37,-4.8774e-05,-0.0015247,142.25,0,1,0.48115,0.49988,0.47876,0
0.020875,0.1328,-0.40076,-294.39,-4.7205e-05,-0.0014728,139.81,0,1,0.49117,0.49988,0.48878,0
0.012412,0.13204,-0.41014,-294.41,-4.5639e-05,-0.001421,137.37,0,1,0.5012,0.49988,0.4988,0
0.019278,0.13062,-0.41784,-294.43,-4.4168e-05,-0.001373,134.93,0,1,0.51122,0.49988,0.50883,0
0.026142,0.12919,-0.42554,-294.45,-4.2698e-05,-0.0013249,132.5,0,1,0.52124,0.49988,0.51885,0
0.025652,0.12725,-0.43253,-294.47,-4.1275e-05,-0.0012787,130.07,0,1,0.53127,0.49988,0.52888,0
0.018279,0.12484,-0.43885,-294.49,-3.9897e-05,-0.0012342,127.65,0,1,0.54129,0.49988,0.5389,0
0.011054,0.12241,-0.44516,-294.51,-3.852e-05,-0.0011898,125.23,0,1,0.55132,0.49988,0.54892,0
0.016822,0.11879,-0.44986,-294.52,-3.7228e-05,-0.0011484,122.82,0,1,0.56134,0.49988,0.55895,0
0.022589,0.11517,-0.45456,-294.54,-3.5936e-05,-0.0011071,120.41,0,1,0.57136,0.49988,0.56897,0
0.022322,0.11092,-0.45832,-294.55,-3.4684e-05,-0.0010672,118,0,1,0.58139,0.49988,0.57899,0
0.01619,0.10606,-0.46118,-294.57,-3.3472e-05,-0.0010288,115.6,0,1,0.59141,0.49988,0.58902,0
0.010095,0.10119,-0.46403,-294.58,-3.226e-05,-0.00099037,113.2,0,1,0.60144,0.49988,0.59904,0
