"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Area)","q1(Area)","med(Area)","q3(Area)","max(Area)","avg(Area)","std(Area)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.12544,0.12544,0.12544,0.12544,0.12544,0.12544,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
1,0.12544,0.12544,0.12544,0.12544,0.12544,0.12544,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0005
1,0.12544,0.12544,0.12544,0.12544,0.12544,0.12544,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.001
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0015
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.002
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0025
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.003
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0035
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.004
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0045
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.005
1,0.12545,0.12545,0.12545,0.12545,0.12545,0.12545,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0055
1,0.12544,0.12544,0.12544,0.12544,0.12544,0.12544,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.006
1,0.12544,0.12544,0.12544,0.12544,0.12544,0.12544,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0065
1,0.12542,0.12542,0.12542,0.12542,0.12542,0.12542,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.007
1,0.12541,0.12541,0.12541,0.12541,0.12541,0.12541,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0075
1,0.12539,0.12539,0.12539,0.12539,0.12539,0.12539,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.008
1,0.12537,0.12537,0.12537,0.12537,0.12537,0.12537,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0085
1,0.12534,0.12534,0.12534,0.12534,0.12534,0.12534,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.009
1,0.12532,0.12532,0.12532,0.12532,0.12532,0.12532,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0095
1,0.1253,0.1253,0.1253,0.1253,0.1253,0.1253,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.01
1,0.12527,0.12527,0.12527,0.12527,0.12527,0.12527,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0105
1,0.12525,0.12525,0.12525,0.12525,0.12525,0.12525,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.011
1,0.12523,0.12523,0.12523,0.12523,0.12523,0.12523,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0115
1,0.12521,0.12521,0.12521,0.12521,0.12521,0.12521,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.012
1,0.12519,0.12519,0.12519,0.12519,0.12519,0.12519,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0125
1,0.12517,0.12517,0.12517,0.12517,0.12517,0.12517,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.013
1,0.12515,0.12515,0.12515,0.12515,0.12515,0.12515,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0135
1,0.12513,0.12513,0.12513,0.12513,0.12513,0.12513,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.014
1,0.12511,0.12511,0.12511,0.12511,0.12511,0.12511,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0145
1,0.12509,0.12509,0.12509,0.12509,0.12509,0.12509,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.015
1,0.12508,0.12508,0.12508,0.12508,0.12508,0.12508,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0155
1,0.12507,0.12507,0.12507,0.12507,0.12507,0.12507,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.016
1,0.12506,0.12506,0.12506,0.12506,0.12506,0.12506,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0165
1,0.12504,0.12504,0.12504,0.12504,0.12504,0.12504,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.017
1,0.12504,0.12504,0.12504,0.12504,0.12504,0.12504,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0175
1,0.12503,0.12503,0.12503,0.12503,0.12503,0.12503,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.018
1,0.12503,0.12503,0.12503,0.12503,0.12503,0.12503,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0185
1,0.12503,0.12503,0.12503,0.12503,0.12503,0.12503,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.019
1,0.12503,0.12503,0.12503,0.12503,0.12503,0.12503,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0195
1,0.12504,0.12504,0.12504,0.12504,0.12504,0.12504,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.02
1,0.12504,0.12504,0.12504,0.12504,0.12504,0.12504,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0205
1,0.12505,0.12505,0.12505,0.12505,0.12505,0.12505,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.021
1,0.12505,0.12505,0.12505,0.12505,0.12505,0.12505,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0215
1,0.12506,0.12506,0.12506,0.12506,0.12506,0.12506,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.022
1,0.12507,0.12507,0.12507,0.12507,0.12507,0.12507,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0225
1,0.12507,0.12507,0.12507,0.12507,0.12507,0.12507,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.023
1,0.12508,0.12508,0.12508,0.12508,0.12508,0.12508,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0235
1,0.12508,0.12508,0.12508,0.12508,0.12508,0.12508,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.024
1,0.12508,0.12508,0.12508,0.12508,0.12508,0.12508,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0245
1,0.12508,0.12508,0.12508,0.12508,0.12508,0.12508,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.025
1,0.12507,0.12507,0.12507,0.12507,0.12507,0.12507,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0255
1,0.12506,0.12506,0.12506,0.12506,0.12506,0.12506,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.026
1,0.12505,0.12505,0.12505,0.12505,0.12505,0.12505,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0265
1,0.12503,0.12503,0.12503,0.12503,0.12503,0.12503,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.027
1,0.12501,0.12501,0.12501,0.12501,0.12501,0.12501,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0275
1,0.125,0.125,0.125,0.125,0.125,0.125,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.028
1,0.12498,0.12498,0.12498,0.12498,0.12498,0.12498,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0285
1,0.12496,0.12496,0.12496,0.12496,0.12496,0.12496,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.029
1,0.12495,0.12495,0.12495,0.12495,0.12495,0.12495,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0295
1,0.12493,0.12493,0.12493,0.12493,0.12493,0.12493,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.03
1,0.12493,0.12493,0.12493,0.12493,0.12493,0.12493,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0305
1,0.12492,0.12492,0.12492,0.12492,0.12492,0.12492,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.031
1,0.12492,0.12492,0.12492,0.12492,0.12492,0.12492,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0315
1,0.12492,0.12492,0.12492,0.12492,0.12492,0.12492,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.032
1,0.12493,0.12493,0.12493,0.12493,0.12493,0.12493,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0325
1,0.12494,0.12494,0.12494,0.12494,0.12494,0.12494,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.033
1,0.12495,0.12495,0.12495,0.12495,0.12495,0.12495,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0335
1,0.12496,0.12496,0.12496,0.12496,0.12496,0.12496,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.034
1,0.12497,0.12497,0.12497,0.12497,0.12497,0.12497,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0345
1,0.12498,0.12498,0.12498,0.12498,0.12498,0.12498,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.035
1,0.12498,0.12498,0.12498,0.12498,0.12498,0.12498,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0355
1,0.12499,0.12499,0.12499,0.12499,0.12499,0.12499,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.036
1,0.12498,0.12498,0.12498,0.12498,0.12498,0.12498,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0365
1,0.12498,0.12498,0.12498,0.12498,0.12498,0.12498,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.037
1,0.12498,0.12498,0.12498,0.12498,0.12498,0.12498,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0375
1,0.12498,0.12498,0.12498,0.12498,0.12498,0.12498,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.038
1,0.12497,0.12497,0.12497,0.12497,0.12497,0.12497,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0385
1,0.12494,0.12494,0.12494,0.12494,0.12494,0.12494,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.039
1,0.1249,0.1249,0.1249,0.1249,0.1249,0.1249,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0395
