"div","u","v","p","dx","dy","T","phase","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.037362,0.00099754,-0.082062,-93.682,1.0921e-05,-0.00086583,20.002,1,1,0,0.5,-4.3961e-05,0
-0.02777,0.00084269,-0.084216,-79.134,9.536e-06,-0.00088907,20.002,1,1,0.01,0.5,0.0099565,0
-0.01818,0.00068774,-0.08637,-64.586,8.1502e-06,-0.00091232,20.002,1,1,0.020001,0.5,0.019957,0
-0.016,0.0005092,-0.088448,-50.043,6.9589e-06,-0.00093268,20.007,1,1,0.030001,0.5,0.029957,0
-0.018995,0.0003142,-0.090473,-35.502,5.9036e-06,-0.00095104,20.013,1,1,0.040002,0.5,0.039958,0
-0.020986,0.00011582,-0.092357,-19.195,4.8608e-06,-0.00096848,20.021,1,1,0.050002,0.5,0.049958,0
-0.01325,-0.00011476,-0.09288,14.233,3.9457e-06,-0.00097706,20.038,1,1,0.060003,0.5,0.059959,0
-0.0055152,-0.00034539,-0.093403,47.662,3.03e-06,-0.00098564,20.056,1,1,0.070003,0.5,0.069959,0
-0.0077537,-0.00058768,-0.092402,81.062,2.0883e-06,-0.00098585,20.157,1,1,0.080004,0.5,0.07996,0
-0.016758,-0.0008379,-0.090368,114.44,1.1287e-06,-0.00098039,20.315,1,1,0.090004,0.5,0.08996,0
-0.024537,-0.0010872,-0.088342,144.32,1.4596e-07,-0.00097461,20.504,1,1,0.1,0.5,0.09996,0
-0.020573,-0.0013276,-0.0864,140.66,-1.0548e-06,-0.00096577,20.987,1,1,0.11,0.5,0.10996,0
-0.016609,-0.0015681,-0.084459,136.99,-2.2564e-06,-0.00095692,21.47,1,1,0.12001,0.5,0.11996,0
-0.012317,-0.001791,-0.091131,133.31,-3.5667e-06,-0.00098457,24.036,1,1,0.13001,0.5,0.12996,0
-0.0077979,-0.0020017,-0.10373,129.62,-4.9525e-06,-0.0010373,28.036,1,1,0.14001,0.5,0.13996,0
-0.0020437,-0.010474,-0.17318,125.52,-6.1556e-06,-0.0010774,32.672,0,1,0.15001,0.5,0.14996,0
0.014136,-0.088739,-0.72272,117.94,-5.8053e-06,-0.00101,42.671,0,1,0.16001,0.5,0.15996,0
0.030315,-0.16703,-1.2723,110.37,-5.4551e-06,-0.00094261,52.671,0,1,0.17001,0.5,0.16996,0
0.033087,-0.15888,-1.9674,102.78,-5.1285e-06,-0.00088237,65.057,0,1,0.18001,0.5,0.17996,0
0.026496,-0.090352,-2.7641,95.197,-4.8185e-06,-0.00082713,79.11,0,1,0.19001,0.5,0.18996,0
0.020539,-0.025404,-3.5528,87.987,-4.5124e-06,-0.00077263,93.626,0,1,0.20001,0.5,0.19996,0
0.022404,-0.0047448,-4.2426,85.423,-4.2538e-06,-0.00072711,113.84,0,1,0.21001,0.5,0.20997,0
0.024269,0.015916,-4.9323,82.858,-3.9952e-06,-0.0006816,134.06,0,1,0.22001,0.5,0.21997,0
0.022467,0.014599,-5.5727,80.293,-3.7601e-06,-0.00064052,158.65,0,1,0.23001,0.5,0.22997,0
0.017824,-0.003748,-6.1747,77.727,-3.5431e-06,-0.00060288,186.63,0,1,0.24001,0.5,0.23997,0
0.013517,-0.022494,-6.7749,75.205,-3.328e-06,-0.00056558,215.08,0,1,0.25001,0.5,0.24997,0
0.015081,-0.04823,-7.3417,73.47,-3.1457e-06,-0.00053429,251.92,0,1,0.26001,0.5,0.25997,0
0.016645,-0.073965,-7.9086,71.734,-2.9633e-06,-0.00050301,288.76,0,1,0.27001,0.5,0.26997,0
0.015529,-0.096985,-8.4569,69.997,-2.7967e-06,-0.00047454,330.3,0,1,0.28001,0.5,0.27997,0
0.012186,-0.11775,-8.9898,68.261,-2.6433e-06,-0.00044843,375.76,0,1,0.29001,0.5,0.28997,0
0.0090277,-0.1383,-9.5209,65.863,-2.4907e-06,-0.00042248,421.18,0,1,0.30001,0.5,0.29997,0
0.010332,-0.15359,-10.009,47.466,-2.3612e-06,-0.00040056,465.73,0,1,0.31001,0.5,0.30997,0
0.011636,-0.16889,-10.496,29.069,-2.2316e-06,-0.00037865,510.28,0,1,0.32001,0.5,0.31997,0
0.010932,-0.17787,-10.955,10.668,-2.1127e-06,-0.00035858,555,0,1,0.33001,0.5,0.32997,0
0.0084771,-0.18136,-11.388,-7.7353,-2.0031e-06,-0.00034011,599.87,0,1,0.34001,0.5,0.33997,0
0.0061275,-0.18459,-11.82,-26.129,-1.894e-06,-0.00032173,644.19,0,1,0.35002,0.5,0.34997,0
0.007215,-0.17932,-12.213,-44.19,-1.8009e-06,-0.00030607,670.91,0,1,0.36002,0.5,0.35997,0
0.0083024,-0.17406,-12.606,-62.252,-1.7078e-06,-0.00029042,697.62,0,1,0.37002,0.5,0.36997,0
0.0078518,-0.1664,-12.979,-80.316,-1.6219e-06,-0.00027599,720.65,0,1,0.38002,0.5,0.37997,0
0.0060145,-0.15658,-13.332,-98.382,-1.5425e-06,-0.00026266,740.37,0,1,0.39002,0.5,0.38997,0
0.0042393,-0.14666,-13.685,-116.45,-1.4634e-06,-0.00024937,759.86,0,1,0.40002,0.5,0.39997,0
0.0051491,-0.13218,-14.014,-134.74,-1.3954e-06,-0.00023794,769.27,0,1,0.41002,0.5,0.40997,0
0.006059,-0.11771,-14.343,-153.03,-1.3274e-06,-0.00022651,778.68,0,1,0.42002,0.5,0.41997,0
0.0056433,-0.10017,-14.663,-171.32,-1.2643e-06,-0.00021591,785.12,0,1,0.43002,0.5,0.42997,0
0.0040034,-0.079786,-14.976,-189.61,-1.2058e-06,-0.00020606,788.81,0,1,0.44002,0.5,0.43998,0
0.0024094,-0.059291,-15.288,-207.89,-1.1474e-06,-0.00019624,792.45,0,1,0.45002,0.5,0.44998,0
0.0034127,-0.032297,-15.589,-225.82,-1.0967e-06,-0.0001877,792.96,0,1,0.46002,0.5,0.45998,0
0.004416,-0.0053036,-15.889,-243.75,-1.0461e-06,-0.00017917,793.47,0,1,0.47002,0.5,0.46998,0
0.0043441,0.024984,-16.183,-261.69,-9.9877e-07,-0.00017119,792.45,0,1,0.48002,0.5,0.47998,0
0.0032611,0.05837,-16.472,-279.62,-9.5466e-07,-0.00016374,789.99,0,1,0.49002,0.5,0.48998,0
0.0022016,0.091828,-16.761,-297.54,-9.1062e-07,-0.00015631,787.5,0,1,0.50002,0.5,0.49998,0
0.0028414,0.13052,-17.035,-314.25,-8.7198e-07,-0.00014977,781.86,0,1,0.51002,0.5,0.50998,0
0.0034812,0.16921,-17.31,-330.97,-8.3335e-07,-0.00014323,776.23,0,1,0.52002,0.5,0.51998,0
