"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Volume)","q1(Volume)","med(Volume)","q3(Volume)","max(Volume)","avg(Volume)","std(Volume)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.025958,0.025958,0.025958,0.025958,0.025958,0.025958,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
1,0.025958,0.025958,0.025958,0.025958,0.025958,0.025958,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.001
1,0.025955,0.025955,0.025955,0.025955,0.025955,0.025955,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.002
1,0.025952,0.025952,0.025952,0.025952,0.025952,0.025952,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.003
1,0.02595,0.02595,0.02595,0.02595,0.02595,0.02595,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.004
1,0.02595,0.02595,0.02595,0.02595,0.02595,0.02595,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.005
1,0.025951,0.025951,0.025951,0.025951,0.025951,0.025951,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.006
1,0.025952,0.025952,0.025952,0.025952,0.025952,0.025952,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.007
1,0.025954,0.025954,0.025954,0.025954,0.025954,0.025954,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.008
1,0.025954,0.025954,0.025954,0.025954,0.025954,0.025954,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.009
1,0.025954,0.025954,0.025954,0.025954,0.025954,0.025954,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.01
1,0.025952,0.025952,0.025952,0.025952,0.025952,0.025952,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.011
1,0.025949,0.025949,0.025949,0.025949,0.025949,0.025949,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.012
1,0.025944,0.025944,0.025944,0.025944,0.025944,0.025944,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.013
1,0.025939,0.025939,0.025939,0.025939,0.025939,0.025939,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.014
1,0.025933,0.025933,0.025933,0.025933,0.025933,0.025933,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.015
